Class,Type,Displacement,Country
L,SS,1106,ENG
L,training submarine,1106,ENG
La Argentina,training light cruiser,6500,Argentine Navy
Flower,K,925,FRA
La Galissonnière,CL,7600,FRA
River,FF,1445,Royal Canadian Navy
Flower,K,925,Royal Canadian Navy
Flower,K,925,ENG
Mendoza,DD,1570,Argentine Navy
Flower modified,K,1015,Royal Canadian Navy
Benson,DD,1620,USA
Sumner,DD,2200,USA
L,DD,1920,ENG
Battle,DD,2325,ENG
Basset,AM,529,Royal Indian Navy
Ticonderoga,CV,27100,USA
Wickes,DAM,1090,USA
Lambridge,Special Service Ship,5119,ENG
Hunt,DD,1000,ENG
Duguay-Trouin,CL,7249,FRA
Mahan,DD,1450,USA
Benham,DD,1500,USA
Langley,Seaplane carrier,11500,USA
Independence,CVL,11000,USA
Gleaves,DD,1630,USA
Flower,K,925,Royal Navy  United States Navy
Abdiel,CM,2650,ENG
Hunt,DD,1050,ENG
Captain,FF,1140,ENG
Lawrence,SL,1245,Royal Indian Navy
Town,DD,1327,Royal Navy  Royal Canadian Navy  Soviet Navy
Leander,CL,6985,Royal New Zealand Navy
Town,DD,1125,ENG
Leipzig,CL,6515,GER
Leningrad,DD,2150,Soviet Navy
Aetos,DD,1030,Hellenic Navy
Raubtier,torpedo boat,1320,GER
Chacal,DD,2126,Free French Naval Forces
Lexington,CV,33000,USA
Essex,CV,27100,USA
Libertad,riverine battleship,2336,Argentine Navy
Flower modified,K,1015,ENG
Town,DD,1190,Royal Navy  Royal Norwegian Navy  Royal Canadian Navy  Soviet Navy
Casablanca,CVE,7800,USA
Littorio,BB,43835,Regia Marina
Flower,K,925,Free French Naval Forces
Loch,FF,1435,Royal Canadian Navy
Loch,FF,1435,ENG
County,CA,9850,ENG
Long Island,CVE,13500,USA
Looe,Special Service Ship,1030,ENG
PB,,1640,GER
Bretagne,BB,22200,French Navy  Free French Naval Forces
Baltimore,CA,17200,USA
Lothringen,CM,1975,GER
Northampton,CA,9200,USA
Condottieri,CL,5316,Regia Marina
Condottieri,CL,9952,Regia Marina
enlarged Admiral Hipper,CA,14680,GER
Farragut,DD,1365,USA
Rapana,merchant aircraft carrier,8000,Royal Netherlands Navy
Bathurst,K,1025,Royal Indian Navy
M,DD,1920,ENG
El Mahrousa,yacht,3417,Egyptian Navy
Queen Elizabeth,BB,31000,ENG
Äran,coastal defence ship,3650,Swedish Navy
Town,DD,1190,ENG
Tribal,DD,2020,ENG
Pegasus,fighter catapult ship,,ENG
Omaha,CL,7050,USA
Marcílio Dias,DD,1500,Brazilian Navy
Marcilio Dias,DD,1500,Brazilian Navy
Cannon,DE,1240,United States Navy  Free French Naval Forces
La Galissonniere,CL,7600,FRA
Marshal Ney,BM,6700,ENG
Marsuinul,SS,860 submerged,Royal Romanian Navy
Colorado,BB,32600,USA
Evarts,DE,1140,USA
South Dakota,BB,37970,USA
Maunder,Special Service Ship,5072,ENG
Fiji,CL,8000,ENG
Gridley,DD,1590,USA
Maxim Gorkiy (Project 26 bis),CA,8200,Soviet Navy
Takao,CA,13350,JPN
Flower,K,925,Royal Navy  Royal Canadian Navy
Benson,DD,1500,USA
Porter,DD,1850,USA
Medway,submarine tender,14650,ENG
Hunt,DE,1050,ENG
Fletcher,DD,2050,USA
Hunt,DE,1000,ENG
River,FF,1445,Royal Navy  Royal Canadian Navy
Cleveland,CL,11800,USA
Hunt,DE,1050,Hellenic Navy
Michel,MC,10900,GER
Tribal,DD,1927,Royal Canadian Navy
Flower modified,K,1015,USA
Mogami,CA,13440,JPN
M,DD,1935,ENG
Omaha,CL,7050,United States Navy  Soviet Navy
Minas Geraes,dreadnought,19200,Brazilian Navy
Asashio,DD,1961,JPN
New Orleans,CA,9950,USA
Rapana,merchant aircraft carrier,16000,ENG
Buenos Aires,DD,1375,Argentine Navy
Maracaibo,LST,4193,ENG
New Mexico,BB,32000,USA
Iowa,BB,45000,USA
Mogami,CA,12400,JPN
Monowai,armed merchant cruiser,4925,Royal New Zealand Navy
Flower,K,925,Royal Norwegian Navy
La Galissonniere,CL,7600,French Navy  Free French Naval Forces
Montclare,submarine tender,21550,ENG
Town,DD,1247,Royal Navy  Royal Canadian Navy
Admiralty,flotilla leader,1530,ENG
Körös,river monitor,448,Royal Yugoslav Navy
Rivadavia,dreadnought,27720,Argentine Navy
Sims,DD,1570,USA
Fletcher,DD,"2,050 tons",USA
Raubvogel,torpedo boat,1213,GER
River,FF,1370,Royal Navy  Free French Naval Forces
Bagley,DD,1500,USA
Shiratsuyu,DD,1685,JPN
Yamato,BB,68200,JPN
Nagato,dreadnought,42850,JPN
Montecuccoli,CL,3184,Regia Marina
V,DD,1830,ENG
Myōkō,CA,13380,JPN
M,DD,1920,Royal Navy  Polish Navy
Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5][a]",GER
Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5]",GER
Type 1934,DD,3150,GER
Type 1934A,DD,"2,206 t (2,171 long tons) (normal) 3,160 t (3,110 long tons) (deep load)",GER
Type 1934A,DD,3100,GER
Type 1936,DD,4400,GER
Type 1936,DD,3400,GER
Type 1936,DD,3415,GER
Type 1936A,DD,3605,GER
Type 1936A Mob,DD,3691,GER
Type 1936B,DD,"2,559 t (2,519 long tons)",GER
Type 1936B,DD,"2,559 t (normal) 3,599 t (3,542 long tons) (deep load)",GER
Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",GER
Type 1936B,DD,,GER
Z,DD,1830,ENG
Zara,CA,11500,Regia Marina
Zuihō,CV,11260,JPN
Shōkaku,CV,29800,JPN
Archimede,SS,1230,ENG
X,SS,30,ENG
Xanthus,repair ship,5801,USA
XE,SS,33,ENG
Artemis,attack cargo ship,4087,USA
XT,training submarine,30,ENG
Sims,DD,1570.0,USA
Atlanta,CL,6000.0,USA
Hunt,DD,1050.0,ENG
Flower,K,925.0,Royal Canadian Navy
O,minelayer destroyer,1540.0,ENG
Odin,SS,1922.0,ENG
Colossus,CV,13200.0,ENG
Odin,SS,2038.0,ENG
O,DD,1540.0,ENG
Kuma,CL,5100.0,JPN
Okinoshima,CM,4290.0,JPN
Nevada,BB,29000.0,USA
Cleveland,CL,11800.0,USA
Gangut,BB,23000.0,Soviet Navy
Oldenburg,CM,1141.0,GER
Omaha,CL,7050.0,USA
Casablanca,CVE,7800.0,USA
Minotaur,CL,8800.0,Royal Canadian Navy
Flower,K,925.0,ENG
Benson,DD,1620.0,USA
Serrano,DD,1090.0,Chile
Leander,CL,7000.0,ENG
Orion,MC,15700.0,GER
River,FF,1445.0,Royal Canadian Navy
Orzeł,SS,1100.0,Poland
Oscar II,coastal defence ship,,Swedish Navy
C,DD,1375.0,Royal Canadian Navy
Bourrasque,DD,1319.0,French Navy  Free French Naval Forces  Poland
Flower modified,K,1015.0,Royal Canadian Navy
Ōyodo,CL,11433.0,JPN
Ruler,CVE,11400,Royal Navy  Royal Canadian Navy
Nagara,CL,5088,JPN
Nairana,CVE,14280,ENG
Najaden,torpedo boat,782,Royal Danish Navy
Sendai,CL,7100,JPN
N,DD,1773,Royal Australian Navy
Black Swan,SL,1250,Royal Indian Navy
Brooklyn,CL,9475,USA
Bogue,CVE,11400,USA
Loch,FF,1435,South African Navy
Akizuki,DD,2700,JPN
Nelson,BB,34000,ENG
Leander,CL,7000,ENG
Nevada,BB,29000,USA
Iowa,BB,57271,USA
New Mexico,BB,33000,USA
New York,BB,27000,USA
Town,DD,1060,ENG
Fiji,CL,8800,ENG
Town,DD,1190,Royal Norwegian Navy
Town,DD,1190,Royal Canadian Navy
Niedersachsen,CM,1794,GER
Niels Juel,coastal defence ship,3400,Royal Danish Navy
Ning Hai,CL,2200,Republic of China Navy
Holland,anti-aircraft cruiser,4100,GER
Holland,C,4033,Royal Netherlands Navy
Eidsvold,coastal defence ship,4230,Royal Norwegian Navy
North Carolina,BB,35000,USA
Northampton,CA,9050,USA
Agano,CL,6650,JPN
Nürnberg,CL,6980,GER
Tordenskjold,coastal defence ship,3858,GER
Novik,DD,1260,Soviet Navy
Yakumo,armored cruiser,9646,JPN
Fusō,dreadnought,39154,JPN
Yamato,BB,74170,JPN
Yorktown,CV,19900,USA
Essex,CV,30800,USA
Yubari,CL,2890,JPN
Kagero,DD,2490,JPN
BYMS,AM,360,ENG
J,DD,1690,ENG
Tromp,C,4064,Royal Netherlands Navy
Java,C,8078,Royal Netherlands Navy
Courbet,dreadnought,23475,FRA
Jeanne d'Arc,CL,6496,FRA
Armed Merchant Cruiser,,14164,ENG
Johan Maurits van Nassau,GB,1537,Royal Netherlands Navy
River,FF,1400,Royal Netherlands Navy
Fletcher,DD,2700,USA
Somers,DD,1850,USA
Churruca,DD,1522,Argentine Navy
Catamarca,DD,1010,Argentine Navy
Atlanta,CL,6000,USA
Hiyō,CV,26949,JPN
Kaga,CV,38200,JPN
Furutaka,CA,7950,JPN
Kaiyō,CV,13600,JPN
Hunt,DD,1050,Hellenic Navy
K,DD,1690,ENG
K,CL,6650,GER
Katori,CL,6180,JPN
Unryū,CV,17150,JPN
B,DD,1350,ENG
W,DD,1710,ENG
County,CA,9750,ENG
Ruler,CVE,11400,ENG
Fletcher,DD,2500,USA
Mississippi,BB,13000,Hellenic Navy
King George V,BB,35000,ENG
Aoba,CA,9000,JPN
Kongō,battlecruiser,36600,JPN
Kirov (Project 26),CA,7880,Soviet Navy
Kuma,CL,5100,JPN
Black Swan,SL,1350,Royal Indian Navy
Komet,MC,7500,GER
Raubvogel,torpedo boat,1290,GER
Kormoran,MC,19900,GER
Admiralen,DD,1680,Royal Netherlands Navy
Kountouriotis,DD,1389,Hellenic Navy
Hunt,DD,1050,Polish Navy
Krasnoye Znamya,GB,1735,Soviet Navy
Kraznyi Kavkaz,C,7560,Soviet Navy
Krasnyi Krym,C,6800,Soviet Navy
Commencement Bay,CVE,10900,USA
Kuma,CL,5550,JPN
Type J1,cruiser submarine,2791,JPN
Type J1 Modified,submarine aircraft carrier,2921,JPN
Type J2,submarine aircraft carrier,2921,JPN
Type J3,submarine aircraft carrier,3583,JPN
Type A1,submarine aircraft carrier,4129,JPN
Type A2,SS,4150,JPN
Type A3,submarine aircraft carrier,4762,JPN
Type B1,submarine aircraft carrier,3654,JPN
Type C1,midget submarine-carrying submarine,3561,JPN
Type B2,SS,3700,JPN
